0, -30, 0, 0, 0.01698063580467192
0.5, -30, 1.112054151562678e-008, -0.0004115585148144954, 0.016914188546931
1, -30, 4.803645410136134e-008, -0.0008954021566822192, 0.01701176738092597
1.5, -30, 1.12992079255915e-007, -0.001405318935865636, 0.01716851018111323
2, -30, 2.053954965122168e-007, -0.001915235715049058, 0.01732525298130053
2.5, -30, 3.353306599692855e-007, -0.002529437186070048, 0.01703321905172714
3, -30, 4.969031559650872e-007, -0.003159019250611266, 0.01667499657290311
3.5, -30, 6.555922209801868e-007, -0.003577270130142958, 0.01623032145279586
4, -30, 8.309388620444303e-007, -0.003949416036855301, 0.01576678543113086
4.5, -30, 1.02955781116298e-006, -0.004321561943567644, 0.01530324940946585
5, -30, 1.246364654317731e-006, -0.004681194175338235, 0.01490845915941367
5.5, -30, 1.470803858536786e-006, -0.005007621397369409, 0.0146960856675539
6, -30, 1.714694591401024e-006, -0.005325113336750866, 0.01446230747205601
6.5, -30, 1.974022259370456e-006, -0.005541279672731577, 0.01398580113948945
7, -30, 2.254376656772614e-006, -0.005757446008712289, 0.0135092948069229
7.5, -30, 2.555757783607497e-006, -0.005973612344693, 0.01303278847435634
8, -30, 2.878165639875104e-006, -0.006189778680673711, 0.01255628214178978
8.5, -30, 3.174735422024424e-006, -0.00632407657687395, 0.01210128324003717
9, -30, 3.462961190739128e-006, -0.006394846901969883, 0.01166906003576916
9.5, -30, 3.783239377946887e-006, -0.006479055917488851, 0.01123701425392118
10, -30, 4.121044788046247e-006, -0.006563264933007811, 0.01080496847207319
10.5, -30, 4.476377421037211e-006, -0.00664747394852677, 0.01037292269022519
11, -30, 4.849237276919779e-006, -0.006731682964045739, 0.009940876908377213
11.5, -30, 5.152214309517367e-006, -0.006794004084441405, 0.00968047541794247
12, -30, 5.470220599838775e-006, -0.006768121436793458, 0.009306947487888085
12.5, -30, 5.807396537918836e-006, -0.006705025885174728, 0.008875911311823923
13, -30, 6.158560345228237e-006, -0.006641930333555998, 0.008444875135759759
13.5, -30, 6.523712021766976e-006, -0.006578834781937272, 0.0080138389596956
14, -30, 6.902851567535057e-006, -0.006515739230318533, 0.007582802783631427
14.5, -30, 7.198344006314869e-006, -0.006493862401394041, 0.007283847752597831
15, -30, 7.47383065853566e-006, -0.006484453341173299, 0.007024844400285259
15.5, -30, 7.758257914176594e-006, -0.00647504428095256, 0.006765841047972689
16, -30, 8.051625773237663e-006, -0.006465635220731809, 0.006506837695660108
16.5, -30, 8.367094576924749e-006, -0.006463454053411833, 0.006239460586887669
17, -30, 8.736817933482115e-006, -0.006485353236454432, 0.005944185584196533
17.5, -30, 9.117869056424329e-006, -0.006507252419497021, 0.005648910581505387
18, -30, 9.485598500005962e-006, -0.006498476853074892, 0.005334140995352074
18.5, -30, 9.738350012943205e-006, -0.006335203358082516, 0.004921184046113272
19, -30, 9.991460059303809e-006, -0.006176166620521464, 0.004532365500259685
19.5, -30, 1.019007915676118e-005, -0.006052614092910314, 0.004345713868004408
20, -30, 1.039412464364783e-005, -0.005929061565299171, 0.004159062235749136
20.5, -30, 1.060359651996375e-005, -0.005805509037688008, 0.003972410603493853
21, -30, 1.083678456166012e-005, -0.005701198392431201, 0.00378412065372817
21.5, -30, 1.108414122582184e-005, -0.005605983591215265, 0.003595056253714324
22, -30, 1.133703917965082e-005, -0.005510768789999346, 0.003405991853700488
22.5, -30, 1.159547842314706e-005, -0.005415553988783408, 0.003216927453686639
23, -30, 1.185945895631054e-005, -0.005320339187567479, 0.003027863053672798
23.5, -30, 1.212898077914129e-005, -0.005225124386351547, 0.002838798653658953
24, -30, 1.230737061559159e-005, -0.005092797707132515, 0.002664463577946376
24.5, -30, 1.247076171066331e-005, -0.004953257709358606, 0.002492991394493658
25, -30, 1.263778914119623e-005, -0.004813717711584697, 0.002321519211040939
25.5, -30, 1.280845290719035e-005, -0.004674177713810783, 0.002150047027588218
26, -30, 1.2975737192015e-005, -0.004583212433726901, 0.002005297110003268
26.5, -30, 1.314583532574932e-005, -0.004493532334857258, 0.001861254205361022
27, -30, 1.331892461660837e-005, -0.00440385223598762, 0.00171721130071878
27.5, -30, 1.345601639144911e-005, -0.004305140232115324, 0.001593930847135307
28, -30, 1.355551687493706e-005, -0.004197222886100701, 0.001491811540137058
28.5, -30, 1.365687814990455e-005, -0.004089305540086079, 0.001389692233138809
29, -30, 1.37601002163516e-005, -0.003981388194071457, 0.00128757292614056
29.5, -30, 1.386518307427821e-005, -0.003873470848056836, 0.001185453619142312
30, -30, 1.399069859647297e-005, -0.003785036106446261, 0.001093770606781279
0, -29.5, 0, 0, 0.01777439164908209
0.5, -29.5, 1.356318014398418e-008, -0.0005044275958084328, 0.01791867864636045
1, -29.5, 5.457324050627227e-008, -0.001014344374991847, 0.0180754214465477
1.5, -29.5, 1.230310929703069e-007, -0.001524261154175265, 0.01823216424673496
2, -29.5, 2.198540845470002e-007, -0.002048055685461362, 0.01832918579641728
2.5, -29.5, 3.527290316251823e-007, -0.002677637750002583, 0.01797096331759327
3, -29.5, 5.159396531793571e-007, -0.003307219814543801, 0.01761274083876924
3.5, -29.5, 6.938985463008287e-007, -0.003840387437258142, 0.01721507655606094
4, -29.5, 8.713062376106178e-007, -0.004212533343970485, 0.01675154053439594
4.5, -29.5, 1.071986236974713e-006, -0.004584679250682828, 0.01628800451273094
5, -29.5, 1.295938544393117e-006, -0.00495682515739518, 0.01582446849106597
5.5, -29.5, 1.543163159865826e-006, -0.005328971064107535, 0.015360932469401
6, -29.5, 1.796992311670941e-006, -0.005630358337729361, 0.01495590627719841
6.5, -29.5, 2.05949941554848e-006, -0.005846524673710072, 0.01447939994463185
7, -29.5, 2.343033248858746e-006, -0.006062691009690785, 0.0140028936120653
7.5, -29.5, 2.647593811601735e-006, -0.006278857345671494, 0.01352638727949874
8, -29.5, 2.97318110377745e-006, -0.006495023681652206, 0.01304988094693218
8.5, -29.5, 3.308140466236018e-006, -0.006687664771638429, 0.0125806303462995
9, -29.5, 3.614932128948632e-006, -0.006771873787157397, 0.01214858456445152
9.5, -29.5, 3.939251014552849e-006, -0.006856082802676366, 0.01171653878260354
10, -29.5, 4.283735659715661e-006, -0.006946635889088943, 0.01128368231033267
10.5, -29.5, 4.64587677682596e-006, -0.007037211363529741, 0.01085082297716064
11, -29.5, 5.025665265825726e-006, -0.007127786837970501, 0.01041796364398854
11.5, -29.5, 5.387368450196684e-006, -0.007125624504403768, 0.009960091177220678
12, -29.5, 5.715771925996577e-006, -0.007062528952785038, 0.009529055001156516
12.5, -29.5, 6.05816327102581e-006, -0.006999433401166308, 0.009098018825092352
13, -29.5, 6.414542485284382e-006, -0.006936337849547577, 0.008666982649028186
13.5, -29.5, 6.784909568772293e-006, -0.006873242297928852, 0.008235946472964028
14, -29.5, 7.169264521489545e-006, -0.006810146746310114, 0.007804910296899855
14.5, -29.5, 7.483488047650127e-006, -0.00678224569080018, 0.007486651253191472
15, -29.5, 7.763323220780585e-006, -0.006772836630579438, 0.0072276479008789
15.5, -29.5, 8.05209899733118e-006, -0.006763427570358698, 0.006968644548566331
16, -29.5, 8.399295586201864e-006, -0.006781728589377454, 0.006677538139634231
16.5, -29.5, 8.764107790060116e-006, -0.006803627772420046, 0.006382263136943088
17, -29.5, 9.140247760303212e-006, -0.006825526955462644, 0.006086988134251951
17.5, -29.5, 9.527715496931157e-006, -0.006847426138505235, 0.005791713131560805
18, -29.5, 9.841699416348398e-006, -0.006764344853836665, 0.005429720371580456
18.5, -29.5, 1.009932844504428e-005, -0.006601071358844289, 0.005016763422341654
19, -29.5, 1.036458756757103e-005, -0.006437797863851906, 0.004603806473102849
19.5, -29.5, 1.059082157636293e-005, -0.006300990787018471, 0.004341638679964127
20, -29.5, 1.079948443094656e-005, -0.006177438259407328, 0.004154987047708855
20.5, -29.5, 1.101357367495947e-005, -0.006053885731796163, 0.003968335415453571
21, -29.5, 1.123308930840166e-005, -0.005930333204184999, 0.003781683783198285
21.5, -29.5, 1.145803133127311e-005, -0.00580678067657386, 0.003595032150943016
22, -29.5, 1.171109384316894e-005, -0.005706963370268711, 0.003406359623436271
22.5, -29.5, 1.197408893471659e-005, -0.005611748569052772, 0.003217295223422423
23, -29.5, 1.224262531593149e-005, -0.005516533767836844, 0.003028230823408581
23.5, -29.5, 1.249795319188249e-005, -0.005414103580179176, 0.002842030136377676
24, -29.5, 1.266128183767409e-005, -0.005274563582405266, 0.002670557952924958
24.5, -29.5, 1.282824681892688e-005, -0.005135023584631356, 0.00249908576947224
25, -29.5, 1.299884813564087e-005, -0.004995483586857447, 0.002327613586019521
25.5, -29.5, 1.317308578781606e-005, -0.004855943589083534, 0.002156141402566801
26, -29.5, 1.334897642981085e-005, -0.004729901224211091, 0.00199209463200645
26.5, -29.5, 1.352275040890305e-005, -0.004640221125341447, 0.001848051727364204
27, -29.5, 1.369951554511998e-005, -0.004550541026471809, 0.001704008822721961
27.5, -29.5, 1.382915601899761e-005, -0.00444930706436672, 0.00158652582098997
28, -29.5, 1.393187468617e-005, -0.004341389718352098, 0.001484406513991721
28.5, -29.5, 1.403645414482193e-005, -0.004233472372337475, 0.001382287206993472
29, -29.5, 1.414289439495343e-005, -0.004125555026322852, 0.001280167899995223
29.5, -29.5, 1.425119543656448e-005, -0.004017637680308232, 0.001178048592996974
30, -29.5, 1.436135726965508e-005, -0.003909720334293609, 0.001075929285998725
0, -29, 3.970466940254533e-023, 0, 0.01914048806093716
0.5, -29, 1.608689169880511e-008, -0.0005844576510733321, 0.01909033659331485
1, -29, 6.196632685451621e-008, -0.001133286593301481, 0.01913907551216949
1.5, -29, 1.339264066280328e-007, -0.001643203372484898, 0.01929581831235676
2, -29, 2.353864386250914e-007, -0.002196256249393894, 0.01926693006228341
2.5, -29, 3.698995112616465e-007, -0.002825838313935115, 0.0189087075834594
3, -29, 5.347482583741947e-007, -0.003455420378476333, 0.01855048510463537
3.5, -29, 7.299326799627353e-007, -0.004085002443017552, 0.01819226262581136
4, -29, 9.124756134405542e-007, -0.00447565065108568, 0.01773629563766107
4.5, -29, 1.115216663050196e-006, -0.004847796557798024, 0.01727275961599607
5, -29, 1.341230020714146e-006, -0.005219942464510376, 0.0168092235943311
5.5, -29, 1.624861927630691e-006, -0.005839651654024359, 0.01632965665591503
6, -29, 1.927787989062866e-006, -0.006225113220067146, 0.01569126947917712
6.5, -29, 2.195756231370299e-006, -0.006445284022291967, 0.01521810720299168
7, -29, 2.484795088400805e-006, -0.006665454824516805, 0.01474494492680628
7.5, -29, 2.79490456015438e-006, -0.006885625626741626, 0.01427178265062085
8, -29, 3.144436338538763e-006, -0.007121498477127937, 0.01374723753106202
8.5, -29, 3.519489698470717e-006, -0.007270606215406731, 0.01309476694974964
9, -29, 3.846237692201519e-006, -0.007348467711363015, 0.01260260699992535
